,GeoName,Year,Real GDP per capita,log GDP per capita
0,AT,2000,31510.0,10.35806023475132
1,BE,2000,29890.0,10.305279255277984
2,BG,2000,2990.0,8.003028666384733
3,CY,2000,20130.0,9.909966518633837
4,CZ,2000,11440.0,9.344871264933788
5,DE,2000,29410.0,10.28909003154804
6,DK,2000,42220.0,10.650649321402312
7,EE,2000,7540.0,8.927977461002001
8,EL,2000,17430.0,9.765948138514066
9,ES,2000,21640.0,9.982298732960418
10,FI,2000,30500.0,10.325481962595504
11,FR,2000,28770.0,10.267088456545594
12,HR,2000,7940.0,8.979668554241181
13,HU,2000,7920.0,8.977146484808472
14,IE,2000,33300.0,10.413312675968536
15,IT,2000,27620.0,10.226295426963283
16,LT,2000,5240.0,8.564076777315087
17,LU,2000,72530.0,11.191755548357458
18,LV,2000,5250.0,8.565983355585669
19,MT,2000,13840.0,9.535318229171661
20,NL,2000,35240.0,10.469937080050116
21,PL,2000,6500.0,8.779557455883728
22,PT,2000,16250.0,9.695848187757884
23,RO,2000,3780.0,8.237479288613633
24,SE,2000,34240.0,10.441149830255679
25,SI,2000,13890.0,9.53892443574839
26,SK,2000,7780.0,8.959311617172437
27,AT,2001,31800.0,10.367221568768269
28,BE,2001,30110.0,10.312612621475779
29,BG,2001,3210.0,8.07402621612406
30,CY,2001,20700.0,9.93788897925346
31,CZ,2001,11830.0,9.378393956972433
32,DE,2001,29870.0,10.304609911210155
33,DK,2001,42480.0,10.65678865591582
34,EE,2001,8030.0,8.990939806940807
35,EL,2001,18050.0,9.800900963761027
36,ES,2001,22380.0,10.015922981865916
37,FI,2001,31240.0,10.349454603953623
38,FR,2001,29110.0,10.278837036739668
39,HR,2001,8510.0,9.04899722156742
40,HU,2001,8260.0,9.019179866515024
41,IE,2001,34520.0,10.449294145197364
42,IT,2001,28160.0,10.245657810271979
43,LT,2001,5620.0,8.634086942887738
44,LU,2001,73930.0,11.210873978551145
45,LV,2001,5650.0,8.639410824140487
46,MT,2001,13490.0,9.509703949201802
47,NL,2001,35790.0,10.48542380376007
48,PL,2001,6580.0,8.791790024319363
49,PT,2001,16450.0,9.708080756193517
50,RO,2001,3980.0,8.289037098278483
51,SE,2001,34600.0,10.451608961045816
52,SI,2001,14270.0,9.565914710470881
53,SK,2001,8060.0,8.994668835500674
54,AT,2002,32120.0,10.377234168060697
55,BE,2002,30490.0,10.3251540399823
56,BG,2002,3420.0,8.13739583005665
57,CY,2002,21230.0,9.963170554697301
58,CZ,2002,12040.0,9.395989718862811
