"club","unit_name","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022"
"club1","Shanghai",3.3895466066004,3.32145699729593,3.26410136075987,3.20208801929545,3.12341328000869,3.02530540681686,2.9087933022431,2.77844805467763,2.64327569733613,2.51052752406517,2.39335771299828,2.30386708341006,2.24622376667817,2.21653871595433,2.2070415414921,2.20822242788123,2.20943157658779,2.20522583055376,2.1932430339934,2.17444851099306,2.1495738026521,2.12246622957571
"club1","Jiangsu",1.36717042258543,1.41861089292116,1.46100566448458,1.49936223173899,1.53528823245654,1.5667233543078,1.5952762365114,1.62262115824006,1.64755389432497,1.66651543302035,1.67886808815157,1.68803175483636,1.69794864068502,1.70915456129496,1.71941268889945,1.72378303403755,1.72144861159147,1.71405643565231,1.70545138137253,1.69830730351478,1.69147528883723,1.68456023994583
"club1","Fujian",1.24985707495814,1.21826725123378,1.19339436901017,1.17602030752468,1.16913677880886,1.17539377776239,1.19358691855368,1.21979509718635,1.25141553140773,1.28155835038626,1.30643838395356,1.32742213117343,1.3471030943302,1.36811151621966,1.39201122785389,1.41986024562927,1.44979702388454,1.47769102825863,1.49953891804018,1.51502013874386,1.5267179891904,1.5370930119385
"club1","Beijing",2.89055708174099,2.9235213304563,2.94220553545453,2.94190580050286,2.9179876619797,2.86808322613159,2.79333284516652,2.697559807666,2.59335873467275,2.49129785761559,2.40334572120713,2.33911075987955,2.29974237775188,2.28225403533287,2.28160147605236,2.2903600886025,2.30114624552231,2.30988946182806,2.31316469150541,2.30905686603919,2.29841042485589,2.28309309254628
"club1","Tianjin",1.86514029788932,1.87628690453556,1.88395865149958,1.88378600830553,1.87320512301237,1.84867077830231,1.81902351347696,1.7916862907114,1.76295044773993,1.73209244138552,1.69946567000963,1.66499025993949,1.62774366244182,1.58859518594246,1.55016438122935,1.51716141251918,1.49138311538559,1.47093898052628,1.45233714020105,1.43412748586621,1.41767511860996,1.40331946277656
"club1","Zhejiang",1.59196856315131,1.64032392961146,1.67087551066393,1.68255963996534,1.68131779594421,1.67339845969657,1.66004903861315,1.64249637813807,1.62318460844567,1.60107669760236,1.57437001830625,1.54661117631077,1.52204090889327,1.5029294913802,1.48920791964495,1.47714195402825,1.46479191271123,1.45201379840208,1.43888301659878,1.42570209093696,1.4125621822105,1.39991960981318
"club1","Guangdong",1.44348112606431,1.47839507239131,1.50334502168116,1.51842810354126,1.52421320661807,1.51856806802983,1.50128052434719,1.47458040387028,1.44160992103592,1.40533756432942,1.36871708075812,1.33695289735646,1.31470958784129,1.30210260273853,1.29571761361966,1.28954513403502,1.28007016512767,1.2665550253196,1.25060474858492,1.23315175507803,1.21508349488406,1.19764542364004
"club1","Inner Mongolia",0.767700652198763,0.829990199344695,0.880068467954613,0.922304256477246,0.958653744370491,0.98952835865069,1.01588879293182,1.03739897869087,1.0522734925663,1.05855496320773,1.05955148110782,1.05875158908072,1.05712585110597,1.05526153543828,1.05288478711256,1.04934400702456,1.04643834888693,1.04823177300229,1.05809140107969,1.07760916439245,1.10592905863187,1.1356345709859
"club1","Chongqing",0.771151271520454,0.775718147330948,0.778499065047881,0.780477546735988,0.783951156775836,0.793048952803585,0.810916859210367,0.838231947390711,0.872119212840231,0.909087446941845,0.946010961313378,0.98015835537044,1.01146639536915,1.04029373222665,1.06512508486784,1.08385785697429,1.0952313200924,1.10132807882161,1.1059320993045,1.10896676547733,1.10900224893739,1.10723872417272
"club1","Hubei",0.763861909892713,0.752673633684423,0.745898531811891,0.745272331746314,0.752914594291579,0.769975304639557,0.796514950042847,0.830399001315105,0.868740155789791,0.90733457493492,0.94311812222814,0.974849397854357,1.00271236458703,1.02681500730554,1.04650237661007,1.06175667352819,1.07242024054288,1.07809619914771,1.07803810013181,1.07474859096336,1.07411867251657,1.0747111609375
"club1","Shaanxi",0.576010719025306,0.603529963999933,0.627931734075314,0.654235342538731,0.684146348416442,0.716770106439324,0.751373626111831,0.788047643418492,0.824976741207311,0.861017646449214,0.894071928997303,0.921213916997901,0.939681525927704,0.949175617402493,0.951513198973139,0.951281452042226,0.951413494453511,0.952039435134755,0.953041592813768,0.955304266418295,0.960369155607517,0.967077030842274
"club1","Anhui",0.625560353381186,0.614396889867199,0.606289597274234,0.601418408576406,0.600847339962802,0.607409886631472,0.622029616108034,0.644555661200837,0.673694364432451,0.705663579709575,0.736422578236502,0.763303944997325,0.786178198926139,0.805905088289566,0.823995591528454,0.841997506659811,0.859348030497685,0.874198152831684,0.884015602242169,0.888694017763302,0.889891319698608,0.890086015661064
"club1","Hunan",0.685148342933571,0.681096736603308,0.677866385870866,0.676615262128726,0.678977620041543,0.687460377091526,0.702664340339114,0.722798167347635,0.745683080581227,0.768850550342057,0.791185942117574,0.812421742772861,0.832185523203718,0.850055483927849,0.864621446246517,0.873782604479133,0.878318659442122,0.880562447564034,0.882833279105519,0.884432283565675,0.884961574646674,0.885789987198436
"club1","Jiangxi",0.552956313736216,0.565511722681619,0.575813749637489,0.586275270180881,0.597587626317406,0.610516374500534,0.625130200600534,0.641911207781775,0.661041976441695,0.681712866973098,0.701558802932674,0.718564299349064,0.733001359966723,0.745029311164629,0.755095389039893,0.763863040822742,0.772273669517293,0.782000470774289,0.793065069606947,0.805228455984685,0.81779181471684,0.829790717072069
