GeoName,Real GDP per capita 2022,log GDP per capita,log GDP per capita 2000,Real GDP per capita 2000,Ratio,Region,influence
AT,38560.0,10.559970748724481,10.35806023475132,31510.0,1.0194930816578716,Europe,0.0006595456980581918
BE,37050.0,10.520023630724232,10.305279255277984,29890.0,1.020838287845161,Europe,0.0010215412620904192
BG,7680.0,8.946374826141717,8.003028666384733,2990.0,1.1178736449763498,Europe,7.71990488697278e-05
CY,27480.0,10.221213746336286,9.909966518633837,20130.0,1.0314074953852979,Europe,0.004245647004175719
CZ,18690.0,9.835743900449609,9.344871264933788,11440.0,1.0525285604904797,Europe,0.006335635003525953
DE,36690.0,10.510259517349327,10.28909003154804,29410.0,1.0214955341165395,Europe,0.0009978193274724325
DK,51600.0,10.851276951469654,10.650649321402312,42220.0,1.0188371266401743,Europe,0.00973397490493472
EE,16120.0,9.68781601606062,8.927977461002001,7540.0,1.0851075798945107,Europe,0.002404936496218672
EL,18690.0,9.835743900449609,9.765948138514066,17430.0,1.0071468495373521,Europe,0.07491222192298264
ES,25270.0,10.13737320038224,9.982298732960418,21640.0,1.01553494556417,Europe,0.02715742725900805
FI,37330.0,10.527552571908629,10.325481962595504,30500.0,1.019570089807443,Europe,0.0013382600979139148
FR,33540.0,10.4204940353772,10.267088456545594,28770.0,1.014941487986675,Europe,0.009472575672046905
HR,14750.0,9.598998361767967,8.979668554241181,7940.0,1.068970230224619,Europe,0.006925439502910726
HU,14430.0,9.577064651767916,8.977146484808472,7920.0,1.066827267213992,Europe,0.010870033911392754
IE,77300.0,11.255449234575513,10.413312675968536,33300.0,1.080871148770019,Europe,0.35869722696826223
IT,28670.0,10.263606558877415,10.226295426963283,27620.0,1.0036485482138287,Europe,0.04277398579424741
LT,15500.0,9.648595302907339,8.564076777315087,5240.0,1.1266357780052805,Europe,0.15951712564648068
LU,85850.0,11.360356866325622,11.191755548357458,72530.0,1.0150647784647968,Europe,0.20978050231372647
LV,13220.0,9.489486113405677,8.565983355585669,5250.0,1.1078104777331623,Europe,0.027063244483991236
MT,25450.0,10.144471021978669,9.535318229171661,13840.0,1.0638838451079073,Europe,0.0035047649675830975
NL,44870.0,10.71152469897003,10.469937080050116,35240.0,1.0230744098147682,Europe,0.0030448505669429765
PL,14780.0,9.601030194502194,8.779557455883728,6500.0,1.0935665314278393,Europe,0.006534217868900222
PT,18970.0,9.85061406292906,9.695848187757884,16250.0,1.015962076981216,Europe,0.052785615401093944
RO,10030.0,9.21333588095598,8.237479288613633,3780.0,1.1184654380486563,Europe,0.027893218261157298
SE,45100.0,10.71663752549077,10.441149830255679,34240.0,1.0263848043284276,Europe,0.0057142508158898936
SI,21790.0,9.989206427938665,9.53892443574839,13890.0,1.047204692229533,Europe,0.0032517586819022877
SK,16360.0,9.702594610156739,8.959311617172437,7780.0,1.0829620650273668,Europe,0.0015760846746457088
