Real GDP,GeoName,Real GDP per capita 2022,log GDP per capita,log GDP per capita 2000,Real GDP per capita 2000,Ratio,Region,influence
213264800000.0,AL,42028.450843230275,10.646102068962282,10.472017354383558,35313.385171690315,1.016623799282175,USA,0.004893757804719094
49633700000.0,AK,67659.28327128627,11.12223984918498,11.046962625394773,62753.06029176878,1.0068142915245464,USA,0.029141924497591412
356417000000.0,AZ,48431.50686141436,10.787905849127863,10.606353971311618,40390.66493611385,1.0171172750133846,USA,0.0012422977026164145
126532200000.0,AR,41545.39756379372,10.634542025527209,10.420848586677181,33551.89375895061,1.020506337566715,USA,0.0004498266363134683
2885627300000.0,CA,73934.81806585415,11.210939147073569,10.817877896679635,49905.07084313962,1.0363344136574677,USA,0.03695154789448154
385834800000.0,CO,66068.4399083139,11.098446452036109,10.88786677863747,53523.00169104081,1.0193407650626114,USA,0.0002836240318215322
252533300000.0,CT,69641.20892227549,11.151111753327594,11.056529780313651,63356.309629849784,1.0085543995171384,USA,0.02020438944813299
65754800000.0,DE,64567.025007953685,11.075459110654071,11.18320806264223,71912.69283151889,0.9903651124628454,USA,0.339771149115602
1070930200000.0,FL,48142.89598977704,10.781928867188176,10.597892081023934,40050.32554884666,1.0173654142500441,USA,0.0011381201632609105
591257300000.0,GA,54179.7872531494,10.900063188963776,10.765744285301997,47369.994760129775,1.0124765088322931,USA,0.0043718444106727586
75418300000.0,HI,52366.691755844346,10.866026014681363,10.73763603033544,46057.045666363694,1.0119570065499708,USA,0.005290455273343598
84002900000.0,ID,43322.05795362946,10.676417205841348,10.502242611388496,36397.035623311756,1.0165845144601764,USA,0.0039120954438727085
797969100000.0,IL,63421.32177060113,11.057555389417274,10.849905525382942,51529.28291663587,1.0191384029610713,USA,9.645015249809172e-05
352955900000.0,IN,51654.32296063961,10.852329168250396,10.677210822025474,43356.452686254095,1.0164011322005255,USA,0.001128465094833221
177090000000.0,IA,55331.685474565515,10.92110099764698,10.636470876860786,41625.609793152566,1.0267598270217047,USA,0.0051695374537410795
164939300000.0,KS,56156.23989241271,10.935893082975529,10.653312575760138,42332.59246362134,1.0265251305831724,USA,0.004814890368259213
201375300000.0,KY,44627.98433618258,10.70611639272669,10.529833436671815,37415.24185722919,1.016741286281029,USA,0.0029094364015705343
217155800000.0,LA,47308.14787284589,10.764437819113267,10.736473918388164,46003.55331141118,1.0026045702655888,USA,0.027810860494761117
64765500000.0,ME,46750.617177010696,10.75258273627698,10.544547037046014,37969.82472405628,1.0197292210371935,USA,0.00017374515722169877
368679800000.0,MD,59805.37450564995,10.998850810576657,10.762511699231302,47217.11440747696,1.0219594754412424,USA,0.0009107520754167866
543871699999.99994,MA,77896.55189205802,11.263136967619348,10.9384256460859,56298.63935568417,1.0296853799659587,USA,0.027322486774221572
490318100000.0,MI,48865.116428328045,10.796819055422876,10.693213781208312,44055.86564112354,1.009688880848584,USA,0.009953554469287999
350314500000.0,MN,61273.95934781879,11.023110224944364,10.824300148292712,50226.605146815,1.0183670143961234,USA,1.6583527064424155e-06
104535300000.0,MS,35555.53514778795,10.478851123471062,10.339231455207635,30922.255773775232,1.0135038729782089,USA,0.03124097257235292
300676300000.0,MO,48669.21216835922,10.792801915483812,10.683745715126351,43640.71025460628,1.0102076746550657,USA,0.009186654076487394
49752200000.0,MT,44308.18609862076,10.698924726741318,10.450666870918417,34567.41903110626,1.0237552166660044,USA,0.0011657627609494923
123539600000.0,NE,62776.6431918322,11.047338359578578,10.704595551535858,44560.163844511095,1.03201828657539,USA,0.01594562056739978
165455100000.0,NV,52066.38487594453,10.860274815591225,10.86527477157636,52327.366413026735,0.9995398224076013,USA,0.04744509819669573
83004400000.0,NH,59491.51072474737,10.993588904459402,10.731912649071537,45794.19654450988,1.0243830027269654,USA,0.0026626467057956635
581704200000.0,NJ,62807.50432507038,11.047829840939396,10.931648897139542,55918.40743404312,1.0106279432218368,USA,0.008769694432267681
94663400000.0,NM,44793.18085460767,10.7098111937507,10.580089690518177,39343.64299661103,1.0122609077075007,USA,0.009288079399061702
1563043700000.0,NY,79434.45166426786,11.282687453181572,10.95916110577088,57478.20467345691,1.0295210869051217,USA,0.02996983677560411
559510100000.0,NC,52295.68295947658,10.864669102850229,10.695654327620744,44163.517337007186,1.0158021912500497,USA,0.0014232683691286696
53125400000.0,ND,68174.07774802024,11.129819679907147,10.557932558485483,38481.48742334776,1.0541665821649935,USA,0.16809455124560285
638910000000.0,OH,54347.29906912674,10.903150196174249,10.711656143426001,44875.89830038044,1.0178771657887629,USA,0.0002362639301493575
191388100000.0,OK,47611.348823324544,10.770826432459902,10.490231997294519,35962.49962004594,1.0267481629803563,USA,0.0061149478661176775
234806200000.0,OR,55377.03144969136,10.921920191996287,10.598180899214432,40061.89448197922,1.0305466849321143,USA,0.013393333455119826
726035600000.0,PA,55969.40735775063,10.932560523259587,10.68876984894587,43860.51873414677,1.0228081133525164,USA,0.0010597640580605166
55413300000.0,RI,50664.329718194735,10.832977386113562,10.669333432682452,43016.25870730137,1.0153377860447996,USA,0.002062306306852584
226420100000.0,SC,42861.212796495085,10.665722565325662,10.527100847788747,37313.14094671195,1.0131680810834098,USA,0.010240063730654524
49809200000.0,SD,54745.97284749578,10.910459089676543,10.568197325712992,38878.525198321346,1.032386011863235,USA,0.020027410015837584
367776000000.0,TN,52156.90239825372,10.862011808300538,10.62081287629489,40978.912179930325,1.0227100255710175,USA,0.0007801190898109007
1876327800000.0,TX,62482.668750656856,11.042644497280252,10.769286283733422,47538.0767045323,1.0253831318385256,USA,0.00434012644381498
