,GeoFips,GeoName,Year,Real GDP,Population,state,code,Real GDP per capita,log GDP per capita
54,05000,Arkansas,1998,84570800000.0,2626289.0,Arkansas,AR,32201.635082810764,10.37977250921257
55,06000,California,1998,1468730800000.0,32987675.0,California,CA,44523.622837923554,10.703775177593577
56,08000,Colorado,1998,200679700000.0,4116639.0,Colorado,CO,48748.432884204805,10.794428329944271
57,09000,Connecticut,1998,196391100000.0,3365352.0,Connecticut,CT,58356.778131975494,10.974330794326882
58,10000,Delaware,1998,50434300000.0,763335.0,Delaware,DE,66070.99111137312,11.098485065840329
59,11000,District of Columbia,1998,81214400000.0,565230.0,District of Columbia,DC,143683.8101303894,11.875370401352503
60,12000,Florida,1998,587970700000.0,15486559.0,Florida,FL,37966.51664194738,10.544459909274213
61,13000,Georgia,1998,352472300000.0,7863536.0,Georgia,GA,44823.63913638851,10.71049093853425
62,15000,Hawaii,1998,54404800000.0,1215233.0,Hawaii,HI,44769.02783252265,10.70927183629124
63,16000,Idaho,1998,38795300000.0,1252330.0,Idaho,ID,30978.496083300728,10.341048568031411
64,17000,Illinois,1998,595615800000.0,12271847.0,Illinois,IL,48535.139005562894,10.790043330169482
65,18000,Indiana,1998,245675700000.0,5998880.0,Indiana,IN,40953.59467100525,10.620194867382336
66,19000,Iowa,1998,114087400000.0,2902872.0,Iowa,IA,39301.5606613037,10.579019508552427
67,20000,Kansas,1998,108183600000.0,2660598.0,Kansas,KS,40661.38514724885,10.613034153184692
68,21000,Kentucky,1998,150774400000.0,3985390.0,Kentucky,KY,37831.7805785632,10.540904784416936
69,22000,Louisiana,1998,207611600000.0,4440344.0,Louisiana,LA,46755.7468520457,10.752692454478375
70,23000,Maine,1998,44140200000.0,1259127.0,Maine,ME,35056.193696108494,10.464707587153978
71,24000,Maryland,1998,231806400000.0,5204464.0,Maryland,MD,44539.91803959063,10.704141100656784
72,25000,Massachusetts,1998,315040300000.0,6271838.0,Massachusetts,MA,50230.93708734186,10.824386392499632
73,26000,Michigan,1998,406051600000.0,9847942.0,Michigan,MI,41232.12748409769,10.626973024760128
74,27000,Minnesota,1998,223654500000.0,4813412.0,Minnesota,MN,46464.856945551306,10.7464515412296
