GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Massachusetts,51044.27673235349,52884.485964779,54594.56085400265,55981.37241620271,57124.44422782649,58216.2283251473,59349.50155880841,60495.217539720106,61587.41119216573,62546.0016588248,63309.761399510964,63920.775930599615,64553.9777649944,65153.75414878763,65705.9675084551,66257.63474217996,66931.45585620793,67783.79653319616,68756.7891222973,69855.54900041636,71093.10345468584,72407.22918248331,73834.35800533247,75550.4062060873,77353.36440480292
Michigan,42025.276045411854,42679.439821779146,43206.69982833618,43601.93053077213,43995.87292482213,44350.655555731544,44566.94026235157,44518.62743250073,44091.60995071594,43325.7911642147,42378.19633047752,41623.89723848219,41429.002634880926,41690.965975975465,42224.57261491819,42881.504663890664,43574.59652495213,44251.780588157664,44855.73948114415,45359.316303317406,45783.3710970288,46176.76600107778,46675.63373980412,47443.51904932206,48301.57154083835
Minnesota,46629.445745211735,47895.65551934216,49135.53108552691,50278.40139630677,51428.167254028565,52594.72224536627,53640.16035832686,54375.11682859049,54693.702003671875,54685.60910722817,54501.5145127172,54339.4177250365,54472.03260529925,54884.76284206239,55496.10112137869,56224.79586235601,56968.77480004491,57630.72976557906,58180.03451005895,58626.26411279551,59001.13471285677,59303.83592587871,59633.434314552294,60182.18229611722,60805.830839080314
Mississippi,30372.72574960943,30601.580008784134,30830.625146695747,31121.386689162682,31550.051062336024,32109.824945708533,32703.12453066016,33246.51809748307,33656.73709376494,33861.97711268725,33858.38437237003,33699.588892913904,33546.12875536093,33466.13255346996,33471.53754099415,33512.87410730793,33574.19409771078,33652.54198522029,33743.7108207013,33845.15220662161,33983.98591567075,34201.91430206638,34528.985048858245,34964.957536060785,35422.25486802534
Missouri,42180.940114596,42672.54322547082,43128.79709444571,43546.27031997968,44003.437606157415,44505.305002797744,44992.74385069535,45366.791640446885,45560.07424401444,45589.43469279766,45499.84195370004,45316.652212877125,45170.52924701759,45103.51806505886,45154.539234807904,45293.07092749677,45472.689328978595,45669.41517875742,45872.34626418431,46109.68247883119,46398.936253949476,46740.71269078832,47140.31767952596,47693.49098916643,48304.946763572734
Montana,33554.164475423655,34021.27133722163,34559.666344417186,35227.618615426596,36084.63769853637,37116.5847788393,38240.26540655943,39316.284292859214,40199.19184353605,40813.757654001165,41131.80140917182,41301.780751417886,41522.85178670323,41810.94632179249,42125.51893260361,42448.54742521838,42760.18505459744,43015.90941203553,43171.19743936782,43320.65566746105,43451.00326775241,43570.40795437691,43723.30869159268,43958.29252819378,44209.125983253616
Nebraska,42311.33202916536,43345.53226823947,44411.562957185866,45516.082454327945,46689.52525996111,47953.08804622307,49187.86773446044,50311.7714838939,51237.156553733694,51938.605954712606,52481.40774235502,53045.810955106164,53773.235718797485,54612.8885409247,55431.14876003818,56258.717462871675,57099.24414556526,57895.453860675014,58592.10560524052,59229.94925160367,59852.64694044257,60468.44695901969,61115.003729638294,61862.07929942813,62632.256706819935
Nevada,51342.133802443816,51501.530231229415,51620.004356076824,51801.66895798291,52263.81474705647,53066.2584475905,54036.079772982725,54711.31076800992,54667.14694060777,53771.073750068324,52211.545058573014,50438.11726810301,48985.00531622842,47959.21862501133,47318.099778434844,47060.517192132625,47165.724165936954,47576.06267644792,48141.19902211538,48734.42022974042,49240.13333044925,49620.94384777546,49953.951429706656,50560.00097332639,51290.234566463136
New Hampshire,42714.65011760417,43914.35145758782,45117.687450993886,46252.424254537844,47354.569479897735,48404.29972185137,49303.3021104756,49946.13051468785,50326.72477764285,50461.17340056601,50461.10428709653,50513.8814208189,50740.24154622712,51083.66823251995,51523.619070603236,52043.46292782111,52640.00603234599,53286.9568979052,53924.20631229969,54544.550729374314,55225.747007386846,56027.60074354617,57016.57116160345,58254.28102393953,59491.924657099305
New Jersey,52687.045107862854,53891.00758823473,55035.59203807957,56010.992398200106,56848.65307275325,57597.610465936144,58277.920284173524,58896.30641925015,59367.60051463696,59575.665802011026,59449.77567137059,58991.24914819701,58506.83759577334,58126.889676127794,57955.01383406676,57943.66735639296,58035.75832553943,58229.63920549184,58486.121055965414,58791.18558978193,59160.11227982666,59576.36106555238,60104.45746964521,60947.91602219776,61931.530402380675
New Mexico,37607.184634342746,38362.10427170694,39072.07149896972,39791.78157990319,40619.38121790203,41552.0648021949,42461.816006339446,43114.13415599194,43459.373771668885,43508.01165781671,43334.54907595322,43025.93398465744,42655.910244422914,42332.360850184894,42126.7854651459,42068.593230891165,42177.20546355211,42369.7336431734,42611.28030655001,42935.208287792,43350.76017353406,43772.27389613021,44096.02437932237,44410.236209268325,44733.92842754441
New York,54050.903993538166,55370.810711438695,56549.776014786796,57495.88368689826,58265.7660964761,59046.93564955171,59952.26479645718,60913.83829392393,61819.89462281439,62587.52677631767,63286.508004235,64079.59818570711,64914.63736611817,65685.46064634205,66424.53884688157,67099.30440478044,67805.5629662194,68595.89188586538,69500.17469368668,70513.49014304634,71652.70259265695,72898.30484363461,74304.95496653189,76138.24770710919,78173.32130514599
North Carolina,42312.648628010764,42934.56122161538,43481.927284994745,43963.835155637425,44498.427579354,45177.89981487659,45986.21140172472,46783.40037213744,47352.49069807593,47508.40117579335,47280.5423511078,46799.692908936144,46375.068772146005,46141.79978307645,46134.12047921284,46359.09763584747,46767.424008340786,47270.26083323912,47781.69498176999,48280.00469981118,48767.56467939568,49309.00897282364,49975.805023560104,50862.15013216558,51823.969408868375
North Dakota,36122.84310901952,37228.05830623359,38403.49783977215,39666.286502747185,41046.0274216428,42462.33342215384,43859.02130695552,45366.43755473604,47116.90652077503,49251.28233917783,51908.28662213715,55194.74974307574,59247.45966141394,63852.30808961799,68302.65497012663,71535.588612833,73322.01491651026,73621.72550624766,73084.35193485545,72441.68207407458,71816.73383145586,71050.37473841284,70090.13846867367,69133.6289502051,68176.69988915496
Ohio,43300.56590204283,43835.36686142046,44338.15646500938,44810.7854730931,45341.14333961444,45914.39664697235,46459.172432324216,46832.988527395144,46921.33974140045,46736.83471730193,46386.709091688135,46106.66392237927,46173.56962192719,46580.03787395691,47194.60113567453,47924.692557497125,48671.60478082925,49332.86459726577,49905.299116774186,50425.950517511854,50931.31787119474,51481.83850373499,52122.014204777064,52982.60441254331,53912.72626842227
Oklahoma,34319.942046360244,35119.20315583281,35952.76195352575,36807.22709861471,37670.765276918624,38590.46794372449,39606.86832292806,40676.583905913285,41686.94250074889,42485.87815537711,43056.26096341446,43460.688802986144,43954.27591102679,44728.58365524585,45775.76988114739,46959.37840122256,48152.333195161875,49102.5702989251,49679.288617588856,49978.09861692187,50030.89456335941,49791.22526136553,49249.5852108574,48591.004936602534,47888.13833972379
Oregon,36964.039583714904,37853.290275385516,38746.103375867824,39564.36002252974,40440.46792971698,41458.8243431444,42560.28513826251,43583.445208293306,44370.652926666706,44794.705387100286,44869.08406786324,44703.14480658065,44597.21313829049,44652.94013243843,44892.22909002364,45374.426074446266,46139.518289255604,47141.11914269501,48262.616523613106,49407.764919381705,50501.1054601456,51491.13032276125,52465.37480637909,53606.35123454879,54834.183357473376
Pennsylvania,41803.084011582774,42731.80273452512,43629.73761293154,44477.93022141219,45294.347113971664,46099.923165308166,46870.56735229,47553.376438994266,48129.36261982936,48615.7281760171,48966.7785701525,49219.65895417186,49566.60051736428,50031.70396828345,50606.50241146405,51258.35694154797,51946.79760573636,52599.27943165225,53150.01863829289,53582.90354260913,53903.58783197522,54132.777485752085,54344.335588911774,54757.42125437682,55280.70008369135
Rhode Island,40591.546883428586,41604.05479553809,42625.30218497828,43642.491958809886,44705.38006766531,45805.22341711847,46868.55641401019,47746.948097835695,48314.27704768689,48501.35069101484,48470.28355494363,48411.62360702024,48430.82414699394,48480.81459968182,48551.00117927107,48624.06922947793,48674.288621873915,48671.75388771511,48596.086525133316,48483.741410901705,48416.92055617733,48491.26263838691,48757.57245849601,49315.85235020333,49983.12499726017
South Carolina,35856.39010597176,36478.86179789364,37060.3736973263,37604.75046020379,38156.259502361834,38686.46074171398,39109.93006449726,39368.57626514477,39381.30411337869,39118.680229166,38615.64070715879,38073.701929419156,37753.643486008164,37710.51832634203,37902.17446788122,38294.94106734378,38835.99159287373,39450.62281820165,40059.967277843956,40604.239112434436,41065.37284885741,41453.71450573953,41808.59331242499,42256.14527349977,42725.42351897739
South Dakota,35309.99957402446,36918.466090074886,38547.755081118405,40167.37641508205,41799.76317864536,43258.25437351528,44570.12947432652,45750.41578680453,46800.21542152773,47795.53980436041,48752.05795778613,49669.23955554854,50570.953075390076,51461.41972207525,52168.35948477734,52653.321545842584,52965.403641138284,53126.14497665114,53147.87758641348,53116.89475026476,53181.634249108174,53408.791663992546,53819.43991708504,54347.059196668146,54856.925975733255
Tennessee,40118.943231729005,40529.86190318102,40947.87511973849,41447.03249051937,42106.34955427234,42865.99096082292,43581.28235997214,44061.625727296414,44196.35426931227,43992.73667550963,43609.87380106997,43246.68350239041,43156.43689565091,43390.00017936633,43850.57365811131,44416.719676757544,45039.544592716804,45688.51050189273,46302.06824301926,46875.54180538315,47433.01424679281,48070.95779730959,48901.98571698438,50068.916929801235,51362.89010891267
Texas,46071.63614867084,46629.31312928747,47162.11615971603,47667.722053320715,48203.96131063629,48860.784958327975,49713.44484550509,50649.535335370296,51529.45048126168,52126.99145430724,52386.106177430534,52545.49354459978,52900.67280783813,53579.91462729525,54551.796677871185,55662.18956233934,56755.66527615703,57756.03885905211,58601.649471549106,59367.71653107538,60066.61579586605,60629.81417730517,61077.17738064732,61595.686749630244,62165.01992992954
Utah,39733.5509387948,40183.837953884045,40609.26896118796,41038.549461675066,41596.67818113261,42397.188247662,43462.66489815302,44609.20551362795,45550.81690033037,46028.16525293693,46000.06816701116,45688.08287944218,45417.467155759114,45337.43638751432,45471.50658770598,45855.67075079499,46494.71954637356,47380.32104971093,48493.5131583965,49795.19744515231,51216.21826050751,52641.82594333092,54043.215733551966,55483.79636717872,56904.6006669313
Vermont,34657.65871475141,36128.32994173338,37564.08862411261,38925.79205129011,40205.019813162064,41372.74066023656,42354.750526385265,43051.576419907346,43518.25381566103,43874.54681335938,44245.774978319205,44637.09477308688,45090.15518884546,45475.54312471952,45704.979753009386,45787.49947503473,45837.91821695655,45896.73650152778,45968.83372720116,46042.59761611055,46145.69047125744,46322.441930962064,46626.71642721463,47164.52775453366,47815.0676131753
Virginia,46064.94918918972,47359.168361290845,48588.48168686513,49707.431543973726,50739.59987812591,51770.5608193031,52780.47987279476,53669.84305890411,54304.396363621236,54664.38995487191,54795.827642044416,54770.22351108049,54699.40679404524,54564.871273206634,54393.52901827749,54249.71506606194,54199.998778588066,54319.42959501472,54606.22431581866,55047.72515548102,55609.168555858036,56242.88989549007,56950.32232657576,57838.2322301893,58773.649044588805
Washington,51052.920943400844,51324.772415069536,51420.63568759107,51413.214263051384,51572.49040979874,52059.61654527788,52915.42127191877,54043.868503375925,55165.148447201376,56057.21500044569,56543.73006446088,56719.794202263125,56930.10313352458,57326.45221537708,57991.25726875715,58917.43293783619,60101.53742172451,61539.52164983909,63219.829411431405,65132.47310099883,67174.55312986516,69178.24099975138,71144.41905509136,73172.82076905802,75142.24630663812
West Virginia,33261.29802206782,33683.85435667811,34058.63722988356,34404.59372580786,34751.38711121725,35114.41488734288,35517.35712683619,35940.441503858776,36332.60128937161,36664.66394696115,36946.72378561491,37177.90048622902,37399.956523584944,37610.96116774462,37791.613973506996,37966.15958689635,38165.490277774654,38425.71491950767,38766.64998386414,39183.50345174805,39570.03728182813,39820.23267185663,39962.86595468841,40110.236487398884,40272.28216377315
Wisconsin,41187.45667644018,42108.37364387128,42991.7877689674,43837.2150679992,44685.07593466966,45548.214149533844,46357.95738922697,46993.018039794915,47348.02187322435,47406.08883525166,47269.542201577555,47153.30864163401,47271.73624671732,47597.49503032313,48040.29820130803,48534.52914855718,49060.35279119189,49558.798791644585,49984.52501812695,50345.45628617823,50687.81626169586,51005.287397222586,51348.753145559036,51871.08180480228,52462.9755939579
Wyoming,51967.64171149216,53858.13399180755,55756.892840664295,57708.41138823991,59716.5168917957,61974.139068819735,64647.91297027953,67736.71499269355,70856.96589288338,73207.06433076298,74223.81765328092,73785.40601424754,72455.31938729307,70864.94199863067,69408.22728239054,68365.53146381887,67714.49459029568,67194.24585432312,66604.70658878391,66074.93364650293,65576.14917938478,64925.76701682579,64048.88733547374,63174.33120898115,62329.714369798516
